1856	-0.39
1857	-0.57
1858	-0.50
1859	-0.36
1860	-0.37
1861	-0.55
1862	-0.43
1863	-0.41
1864	-0.51
1865	-0.34
1866	-0.29
1867	-0.33
1868	-0.37
1869	-0.47
1870	-0.44
1871	-0.36
1872	-0.33
1873	-0.35
1874	-0.51
1875	-0.34
1876	-0.47
1877	-0.23
1878	-0.20
1879	-0.32
1880	-0.29
1881	-0.20
1882	-0.24
1883	-0.27
1884	-0.33
1885	-0.32
1886	-0.26
1887	-0.46
1888	-0.37
1889	-0.20
1890	-0.42
1891	-0.38
1892	-0.40
1893	-0.38
1894	-0.40
1895	-0.33
1896	-0.16
1897	-0.17
1898	-0.43
1899	-0.28
1900	-0.21
1901	-0.33
1902	-0.37
1903	-0.49
1904	-0.51
1905	-0.42
1906	-0.39
1907	-0.49
1908	-0.57
1909	-0.53
1910	-0.49
1911	-0.55
1912	-0.33
1913	-0.37
1914	-0.24
1915	-0.18
1916	-0.37
1917	-0.41
1918	-0.37
1919	-0.19
1920	-0.20
1921	-0.27
1922	-0.35
1923	-0.34
1924	-0.41
1925	-0.35
1926	-0.20
1927	-0.28
1928	-0.31
1929	-0.41
1930	-0.28
1931	-0.17
1932	-0.22
1933	-0.26
1934	-0.20
1935	-0.23
1936	-0.21
1937	-0.15
1938	-0.06
1939	-0.12
1940	0.02
1941	0.10
1942	0.02
1943	-0.05
1944	0.14
1945	0.07
1946	-0.26
1947	-0.20
1948	-0.25
1949	-0.22
1950	-0.26
1951	-0.22
1952	-0.04
1953	-0.06
1954	-0.28
1955	-0.32
1956	-0.28
1957	0.02
1958	0.03
1959	-0.02
1960	-0.08
1961	0.00
1962	-0.06
1963	-0.06
1964	-0.29
1965	-0.17
1966	-0.14
1967	-0.18
1968	-0.16
1969	0.10
1970	-0.02
1971	-0.20
1972	0.11
1973	0.12
1974	-0.13
1975	-0.14
1976	-0.15
1977	0.07
1978	-0.04
1979	0.09
1980	0.13
1981	0.02
1982	0.08
1983	0.25
1984	0.10
1985	0.11
1986	0.11
1987	0.28
1988	0.21
1989	0.14
1990	0.22
1991	0.23
1992	0.15
1993	0.20
1994	0.19
1995	0.23
1996	0.22
1997	0.36
1998	0.48
1999	0.08
