1856	-0.34
1857	-0.36
1858	-0.35
1859	-0.11
1860	-0.43
1861	-0.28
1862	-0.63
1863	-0.11
1864	-0.41
1865	-0.16
1866	-0.11
1867	-0.29
1868	-0.03
1869	-0.11
1870	-0.19
1871	-0.36
1872	-0.09
1873	-0.21
1874	-0.28
1875	-0.52
1876	-0.34
1877	-0.03
1878	0.19
1879	-0.27
1880	-0.26
1881	-0.29
1882	-0.22
1883	-0.35
1884	-0.40
1885	-0.35
1886	-0.26
1887	-0.28
1888	-0.25
1889	-0.14
1890	-0.36
1891	-0.28
1892	-0.43
1893	-0.52
1894	-0.37
1895	-0.39
1896	-0.17
1897	-0.14
1898	-0.25
1899	-0.17
1900	-0.07
1901	-0.13
1902	-0.36
1903	-0.40
1904	-0.47
1905	-0.33
1906	-0.23
1907	-0.51
1908	-0.48
1909	-0.46
1910	-0.43
1911	-0.42
1912	-0.48
1913	-0.46
1914	-0.24
1915	-0.10
1916	-0.36
1917	-0.55
1918	-0.39
1919	-0.35
1920	-0.26
1921	-0.13
1922	-0.26
1923	-0.21
1924	-0.27
1925	-0.13
1926	0.02
1927	-0.12
1928	-0.15
1929	-0.35
1930	-0.03
1931	0.02
1932	-0.02
1933	-0.22
1934	-0.05
1935	-0.10
1936	-0.03
1937	0.09
1938	0.18
1939	0.08
1940	-0.06
1941	0.04
1942	0.07
1943	0.12
1944	0.26
1945	0.06
1946	0.03
1947	-0.01
1948	0.04
1949	0.00
1950	-0.14
1951	0.07
1952	0.07
1953	0.21
1954	-0.06
1955	-0.05
1956	-0.24
1957	0.06
1958	0.18
1959	0.09
1960	0.06
1961	0.06
1962	0.11
1963	0.16
1964	-0.18
1965	-0.14
1966	0.01
1967	0.03
1968	-0.03
1969	-0.03
1970	-0.03
1971	-0.18
1972	-0.20
1973	0.06
1974	-0.22
1975	-0.10
1976	-0.27
1977	0.04
1978	-0.03
1979	0.04
1980	0.08
1981	0.24
1982	0.03
1983	0.24
1984	-0.06
1985	-0.10
1986	0.08
1987	0.19
1988	0.28
1989	0.21
1990	0.46
1991	0.35
1992	0.15
1993	0.18
1994	0.33
1995	0.53
1996	0.22
1997	0.50
1998	0.66
1999	0.13
