  0.100  	0.100  	0.036  	1.472  	0.077  	0.871  	2.811  	2.544
 0.438  	2.064  	-1.298  	1.117  	1.996  	0.181  	0.325  	0.623
 1.732  	2.986  	1.447  	1.085  	1.102  	-0.644  	2.247  	0.029
 0.396  	0.022  	0.956  	1.889  	0.121  	-0.805  	-0.13  	0.841
 -0.377  	0.565  	1.488  	-0.681  	0.819	 -0.23  	0.772  	-1.389
  1.09  	1.225  	1.196  	0.762  	0.215	1.71  	-0.095  	2.038 
 2.038  	1.604  	0.442  	-0.374  	1.887	-0.869  	0.935  	2.417 
 0.973  	2.461  	0.403  	0.658	1.765  	-0.131  	-0.771  	-0.911
 0.883  	2.155  	-0.288	-0.312  	1.038  	0.433  	-0.810  	1.313
 -0.219  	1.532  	1.136  	-0.018  	1.61  	2.08  	1.064  	2.726
 -0.649  	1.621  	1.396  	0.459  	1.405  	-0.201  	0.39  	2.128
 -1.576  	0.93  	1.501  	1.282  	3.101  	0.726  	0.046  	1.192
 0.283  	0.42  	1.047  	1.299  	2.083  	-0.178		
